#{"t_start": 1646277011.2565906, "env_id": null}
r,l,t
8,6,17.205583
-4,15,37.900875
-6,15,74.526708
2,12,97.611382
-6,15,134.570332
4,10,156.552354
9,5,174.0696
-4,15,199.825647
6,8,221.516401
2,12,255.19979
-3,15,292.51072
-6,15,316.639417
1,13,347.050201
6,8,372.195807
8,6,394.725836
-4,15,424.610363
-6,15,455.392756
4,10,474.141697
-3,15,502.321412
7,7,519.361005
-4,15,545.533852
-8,15,577.54146
6,8,598.054976
-15,15,637.108016
7,7,655.705513
-6,15,688.618271
-4,15,730.454502
6,8,748.605308
-5,15,765.061284
-3,15,793.484667
-4,15,817.817486
-9,15,839.691681
2,12,868.060913
-8,15,902.842606
5,9,925.150681
-4,15,947.28743
-8,15,985.038271
-10,15,1007.418389
-15,15,1038.64097
9,5,1057.136668
5,9,1082.453724
-3,15,1108.24983
5,9,1130.142235
0,14,1164.72393
6,8,1187.294666
6,8,1206.300398
-6,15,1243.207918
-7,15,1264.258566
-1,15,1280.236329
-5,15,1321.96671
-4,15,1351.059154
10,4,1366.458671
2,12,1397.035538
-9,15,1409.834366
-7,15,1437.858347
-15,15,1483.733506
0,14,1519.758616
-4,15,1564.960192
5,9,1582.382853
-15,15,1618.565036
9,5,1633.731492
-6,15,1663.582563
-5,15,1710.549056
5,9,1726.097278
-6,15,1763.03747
-5,15,1802.175112
-10,15,1836.797399
9,5,1852.303894
-4,15,1879.126644
-4,15,1894.905001
6,8,1913.854893
-9,15,1934.505458
-3,15,1971.782194
-6,15,1995.022651
6,8,2013.119365
4,10,2028.145241
-8,15,2061.486328
-6,15,2082.178269
2,12,2113.823456
-5,15,2152.645046
2,12,2179.140132
3,11,2210.979844
2,12,2230.472246
-1,15,2258.960656
10,4,2275.317681
-4,15,2313.4302
-4,15,2344.58374
9,5,2363.25836
-1,15,2395.930108
8,6,2412.095246
5,9,2434.193609
-8,15,2467.474793
4,10,2488.501756
9,5,2503.995103
-6,15,2536.985413
-4,15,2561.445065
6,8,2582.197064
-7,15,2623.930403
4,10,2644.398837
5,9,2671.564092
0,14,2705.113986
-6,15,2723.773389
4,10,2751.264493
0,14,2787.909697
3,11,2809.432387
9,5,2825.141511
9,5,2843.644819
-8,15,2882.957495
6,8,2901.527292
6,8,2919.581528
2,12,2947.156024
-7,15,2980.925833
-5,15,3025.903743
5,9,3047.171994
-4,15,3068.289158
-9,15,3086.634603
4,10,3108.771653
9,5,3127.203441
5,9,3154.877217
-3,15,3191.836741
1,13,3222.744819
-3,15,3256.404591
1,13,3277.185256
-4,15,3292.813758
2,12,3316.962036
2,12,3344.165497
4,10,3363.012533
-9,15,3380.909594
3,11,3401.741469
0,14,3422.220439
-4,15,3452.545796
-4,15,3491.526235
4,10,3521.628043
-4,15,3554.638426
-15,15,3590.682309
1,13,3618.055114
-4,15,3653.714628
5,9,3676.153371
5,9,3697.203788
5,9,3715.584267
0,14,3746.693727
-4,15,3772.684281
1,13,3800.64777
-15,15,3843.618485
-5,15,3888.863341
3,11,3909.808955
3,11,3936.920767
-4,15,3955.177798
8,6,3971.114267
-9,15,3991.704895
8,6,4013.436996
-5,15,4044.319582
-3,15,4077.595038
-10,15,4119.165391
4,10,4137.259279
-6,15,4161.785661
2,12,4195.31184
8,6,4210.538517
1,13,4226.46399
6,8,4242.062587
1,13,4267.175946
4,10,4285.853411
-9,15,4312.977774
1,13,4337.227979
-4,15,4380.028927
-3,15,4413.489446
7,7,4428.050585
0,14,4467.380103
